x1,x2
23.572779,23.697567
10.696508,-7.3551407
25.161278,0.8125692
27.404335,2.4578485
2.883503,-18.367945
-6.515446,12.166231
6.1577125,15.433012
-16.386461,5.3168454
-10.821661,8.714151
-20.323793,6.4748363
-2.409125,-19.286991
-16.09235,-5.524881
8.32073,-2.8331172
-12.882117,4.26172
-2.0202594,0.17710276
-19.378786,14.780734
-8.191716,-8.146511
25.669836,20.121752
-2.7706392,-9.275117
6.585066,5.868278
4.5666156,28.988585
11.153834,-10.090687
-19.13791,-10.629504
14.623556,-4.506175
14.838116,6.5488977
5.0702615,34.230606
9.529211,-8.312289
-24.403902,-6.8903065
10.269931,17.748222
17.490019,10.476837
4.5855217,-2.5088165
2.9586363,-28.377037
-20.538805,-8.167309
3.515631,5.1718984
-5.3930125,8.009202
18.729443,14.707457
7.76079,20.376863
31.477747,5.150632
14.599729,20.739504
-0.7865547,-18.41159
-17.720116,3.2501853
-3.212232,-11.8327
4.255923,-13.979436
-23.510788,-9.631275
-12.922612,-9.032252
-1.0130063,16.748178
18.080679,-12.851676
-6.6884084,-16.862974
8.529448,2.0681787
14.527121,6.356575
-21.01228,15.667695
27.949526,-4.4607224
9.356217,14.111595
-13.524217,-5.7401085
0.14788261,-10.116304
-7.245401,-24.559177
-6.758904,-2.676297
-5.97812,15.449477
20.666609,-2.119001
-2.73864,-5.0557437
8.744517,-24.817888
27.318457,6.39716
19.056818,3.2079759
-14.301696,8.54882
25.169613,7.4970646
-0.650867,-0.30536905
17.212543,0.71055424
-0.69905543,-6.507141
-9.158598,3.729599
-8.259574,7.832612
0.33948144,2.8537664
2.8476799,2.683219
1.364919,3.7393193
24.24923,-11.422222
25.555443,5.0682635
0.11751747,1.1536322
3.571894,33.96469
-15.802352,-8.951579
-3.3697019,3.3920476
2.2976034,20.725565
-17.450607,-25.301031
6.0489807,10.737632
2.164725,-11.031222
-5.1848087,19.404737
3.4454696,32.31878
-14.695618,3.179743
-20.689732,-5.376399
23.460514,4.839678
3.439512,32.300026
-12.068301,11.628166
9.96748,-13.552813
16.908785,-15.559769
3.2545373,-1.1731375
-14.508307,-10.732338
-2.3410308,7.0918756
-10.361443,23.381205
-0.50131714,-0.45443794
7.746208,-15.407262
6.6286902,-1.3045406
-22.240509,1.8554868
4.309678,-20.929977
-3.4430058,-3.0433404
-4.205418,17.069885
10.382234,5.678689
-21.560251,15.592615
-11.721448,-2.046421
13.117925,-9.574881
-5.4469967,-2.2331624
-6.8148036,-8.233383
3.0694895,32.929462
-22.131973,20.39168
10.406101,-20.732239
-9.529717,13.029265
-26.899952,3.4899023
22.514177,-0.51338285
-19.225578,-2.0950475
-10.967632,1.4686872
-11.329362,15.767355
-18.07002,-19.242128
20.086618,21.889324
27.69874,0.06005845
-6.567497,8.316786
-21.123096,0.3933192
-0.971662,12.328511
-3.336574,-1.138146
-0.24841294,14.404006
-4.259771,10.967566
2.3322666,-3.7215233
-11.442902,-15.01225
12.660396,1.2836366
-2.2328644,22.539019
2.6173987,-25.6259
-7.4828715,5.027879
-18.96812,-27.557821
-24.395739,-2.776218
21.687048,15.049756
-2.1014578,-14.822262
13.496002,13.986143
11.461093,29.798407
-4.103932,-10.140266
25.115076,-6.4189057
2.9212458,24.313406
25.498348,-13.873
7.425577,10.653414
-24.334133,8.5052
-6.3090878,-12.375224
-8.704744,1.513005
-17.259428,-16.48389
16.029402,-7.792139
-18.079325,14.443877
-4.1030655,12.063116
18.727932,-7.3839436
-22.127975,-3.0802474
-25.27679,-2.5571048
-0.6190464,-16.359135
-12.113978,5.577614
-8.395135,0.64293456
-26.22703,-12.676678
1.2233264,-3.356054
-21.584076,2.550581
-12.365868,-10.267343
4.8347173,-9.661178
-7.1116576,-9.522617
-26.060036,10.734473
12.344563,-15.234432
18.555208,10.589753
2.1815376,-8.970237
-9.446052,-11.881726
-15.830751,-0.27514562
-8.316078,-31.751339
-3.2557645,-25.237339
-0.92550176,-4.1769543
-16.741287,-9.635428
-1.5291913,4.525457
7.0980573,11.417588
-0.12747918,-0.59496987
7.49388,13.823147
2.259651,-4.3230515
7.1419683,-11.250338
-17.516668,-10.964885
2.9736757,31.431438
-20.795658,-1.8628075
16.992395,31.02339
0.6249108,0.037361015
-2.2232246,-1.95222
-3.3698628,-33.327713
-27.26344,4.0307074
24.124283,-1.3016853
5.0262256,32.324276
-0.8410441,-0.14835978
13.203417,17.951866
-19.41082,-24.043764
-20.919886,-16.760597
-3.0204244,14.982039
25.72781,15.750112
21.066666,-12.016759
-1.668517,4.0467625
-6.4772,-29.135746
-15.551181,0.5733957
2.3166363,-10.158856
-29.619604,3.495525
13.053959,-15.059092
1.5196482,6.565766
-4.9911847,-26.671297
22.465137,7.161698
-20.270914,-24.9985
9.106201,4.693049
26.380587,12.573483
-6.278234,10.849648
6.794648,6.2418942
27.19789,12.69373
-11.491246,4.105238
2.0132303,17.249289
-12.089572,-25.755856
-6.249929,-30.96004
27.520964,10.865526
-13.522043,10.644913
14.77574,22.909723
12.68213,11.086784
-4.7491384,6.552776
6.1622376,-2.4300063
-6.1171446,-0.7434373
-6.819136,-20.63043
-5.9006004,-24.844656
-3.1984725,-7.76948
14.987944,2.0904589
-3.1566062,7.9164596
23.790627,-2.7457972
6.493599,-14.620888
-6.075119,23.050894
-13.694788,-0.63117826
8.061436,-28.414276
18.503014,-9.323808
-20.690943,-8.541861
-14.2387705,6.372536
20.76418,16.210932
-1.9239633,-0.5350951
9.341021,-5.244166
4.4795976,13.973761
28.400658,8.5794325
31.428762,5.153353
0.54258037,-9.279346
-22.128725,20.391296
-23.562048,0.9050985
16.416458,7.8695703
20.798729,-0.46349606
-14.212975,13.066585
-8.518876,-5.0350986
-22.551954,6.2357707
-10.1513195,-17.165737
25.487732,-4.5208716
1.1256961,10.498575
-8.877576,-2.5570974
18.137835,-9.126813
-17.591024,-24.861273
21.410368,-1.7159204
0.5785765,-7.108408
-7.7898726,4.181984
-14.829171,-6.7530746
2.533667,15.737095
25.769154,-14.868872
3.7075357,-7.6134024
-9.208078,-3.8343506
8.911747,-5.1703587
14.185399,-2.7735934
11.940097,-4.074453
23.223202,9.352028
11.364254,18.920027
20.618547,20.039276
5.432919,30.865276
24.39708,13.403044
-27.050457,10.544062
4.2641435,18.996233
-16.036749,20.973242
-13.080191,-15.587065
25.61197,9.406894
-5.4566364,-9.257367
15.735941,8.303745
5.697409,-1.575907
-2.7808857,-11.075511
-4.528855,-17.81764
5.654726,-27.64052
27.334843,14.43935
20.73838,10.060728
30.143908,7.4261827
2.925027,-15.389304
-7.2635994,-24.51273
3.971424,1.2048718
7.1334844,0.16716614
-1.0432801,25.940176
-0.669668,-31.94094
-6.197167,-22.15723
-28.079323,-0.61533266
-12.155199,-25.973896
9.481685,12.8967905
0.8778932,-4.0842357
15.775944,4.141525
-25.108644,-12.719945
4.421171,-16.362125
27.161032,-3.4592621
-12.059009,-27.196884
8.286666,-13.286312
4.8558197,21.379217
-11.18081,-19.222216
-1.103982,6.828675
5.7166066,-12.081137
23.049496,-1.967208
-3.507675,-15.9881525
13.028354,8.824207
-16.965977,-12.959929
-4.1079407,-20.006903
1.2135363,-1.7519867
25.246258,7.600112
-9.598782,17.874998
-6.1330724,-15.201951
1.7390304,35.574856
-15.445392,-5.47713
-17.917013,8.213178
-7.7857237,-11.080407
-12.902228,-11.774216
-15.723288,-9.608864
0.91369665,-9.391152
8.909944,-15.671165
-11.5549345,15.012838
-16.40556,10.030311
-9.150718,6.2766767
12.28341,-15.994966
-8.777382,-22.83875
-2.637344,11.580574
-9.181061,-0.24415982
-3.1014755,-15.764418
15.583305,17.275188
14.06922,-2.5319972
-7.284503,-2.065489
1.5837655,31.785809
12.307956,-2.2529998
23.584618,13.206728
-17.479034,-19.847065
-5.694449,-19.569136
-19.080622,18.243462
11.4538555,-4.126518
-22.293684,11.304003
-8.774962,-26.722816
-8.194934,-8.125907
-4.8119874,-5.279538
7.170455,11.915804
14.450008,-12.588859
-2.2465956,23.363026
-9.766068,-24.160973
3.9838586,-24.018917
-4.8186355,-8.322245
-18.482946,-9.121169
4.7733603,-7.7635837
25.87678,9.3749485
9.286498,-10.837058
15.346652,4.950152
18.933588,16.748203
-8.540909,-27.928736
-8.404036,25.603783
28.187426,14.103454
0.3811576,-27.048258
7.236944,-8.707579
12.439745,-19.191887
-1.9683223,-26.617365
2.5023317,9.376512
3.522458,16.215317
-6.83724,-29.085505
-10.108375,-8.437572
16.823278,-15.7938
-3.4146113,13.591676
16.54195,18.514267
-5.5542636,-5.7683706
-7.874602,-13.613184
-12.453181,9.028192
7.653761,-7.141764
-2.2044926,22.53182
18.190233,16.96353
19.009733,3.9240448
12.039007,2.712871
22.324148,7.254727
-18.265156,0.8911031
0.5229271,-30.477638
-10.909643,23.077084
-29.605684,-8.463975
-1.4816813,-25.322052
-14.209852,-12.580286
-6.5263014,-27.31409
-3.5633705,-24.519104
-7.28436,-24.53674
-9.672973,-12.775045
-6.340302,-13.712092
7.0847006,11.48597
10.959032,20.2978
-6.1467195,2.7866554
7.4086585,-20.68718
-15.936034,-17.895592
-10.852865,15.2302475
18.998453,-12.550967
1.0959691,32.97172
-2.7290766,-23.08561
12.769429,0.3339729
11.405379,6.9873843
-6.5686107,-2.8488407
-5.690194,-10.866779
-4.516427,-17.460865
-14.79547,-21.989532
6.70531,26.46617
-2.801259,-14.138177
7.445307,-1.2124777
25.861393,15.276546
-13.736198,-19.335281
-1.3264853,21.435734
1.4804746,-8.190737
7.1862245,-6.3763065
2.5573967,21.110222
8.826461,7.691144
-15.016767,-27.910791
2.5550342,-22.984552
-17.029734,20.06622
-3.8385713,-6.666104
-2.9158278,16.742907
-13.576167,-5.689705
29.549868,-6.4634004
-17.06793,-23.071766
19.470135,-15.58466
8.296967,-0.8060657
16.062244,-10.332842
25.282358,-0.65469295
25.853622,-14.480179
-9.343535,-9.630222
-6.645427,16.46166
19.57736,-16.047817
-4.131542,3.2691052
-32.792423,6.727665
4.940115,-3.871859
7.9908323,9.485081
2.588431,32.09217
-0.9843606,-4.9436316
-1.242808,-5.587184
0.83207065,-18.672009
-10.598773,-24.571278
-3.6603293,5.7249093
16.361925,1.7873139
29.04725,7.695875
-1.8249825,-9.350186
1.7023374,13.520975
4.201865,-13.337199
12.59346,30.43254
-2.863571,-30.231976
-4.9446626,-11.800076
14.871011,-18.874708
4.8334565,-4.760628
3.7906806,-3.869515
-23.733389,1.176414
3.039168,24.527424
-22.59746,12.887043
-16.268335,-10.280172
-0.52513915,-19.842812
